site,country,track,feed_class,mode,scenario,gross_t_per_t_p50,gross_p10,gross_p90,net_t_per_t_p50,share_not_viable,cost_usd_per_tco2_p50,cost_p10,cost_p90,removal_Mt_p50,t_air_c,precip_mm,moisture_factor,slope_deg,road_km,grid_gco2_kwh,grid_src,elec_usd_per_mwh,elec_src
Dzhetygara (Zhitikara),Kazakhstan,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.021751519981933462,0.01113463541733096,0.035798592356704864,-0.008511348731743338,0.507,5680.28293692465,2214.1758806258863,29704.439269554565,,4.0,331,1.0,0.2,0.4,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,A: existing tailings,serp_antigorite,reactor_aerated,FOAK,0.0047181439208945075,0.0018652915522590092,0.008586514440505393,-0.0159260099516663,0.962,37234.46896542491,11663.568489557478,167122.26514839852,,11.5,1006,1.0,7.5,0.7,285,Ember latest year,,tier default range
Amiantos,Cyprus,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02157424948840507,0.011055187087015566,0.0364624284859825,-0.007660492841711938,0.45199999999999996,5379.726249404267,2047.3911350669641,28303.719496896098,,13.0,728,1.0,9.8,0.8,400,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02189856325037372,0.011740117027842343,0.0367137624608509,-0.0019281604996130748,0.3135,4661.043283993259,1829.3120705160195,25506.939750869482,,12.4,516,1.0,2.5,0.7,324,Ember latest year,,tier default range
Diavik,Canada,A: existing tailings,kimberlite_tailings,reactor_aerated,FOAK,0.012821213926642192,0.006842551782711634,0.021343306860517205,-0.0013391862033612359,0.43200000000000005,10380.709161479996,3812.103794291762,64110.39117435916,,-9.6,428,1.0,0.5,265.6,191,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,B: greenfield / project,serp_partial,reactor_aerated,FOAK,0.033408828145127564,0.021115967860473095,0.04877530122797714,0.029852952194737402,0.0,2219.825123670735,1314.1050938998314,4049.3318657607715,,1.9,946,1.0,0.0,0.7,1,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,B: greenfield / project,serp_partial,reactor_aerated,FOAK,0.0335910868128742,0.020803105085183675,0.04826540564670416,0.012228627316070037,0.049000000000000044,3849.772203766522,1934.832651927284,12035.67034867889,,3.6,579,1.0,0.8,45.9,191,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,B: greenfield / project,dunite_fresh,reactor_aerated,FOAK,0.0022673231946919187,0.0008158084442640385,0.004389546108990117,-0.04770128569629322,1.0,,,,,23.5,235,1.0,0.2,0.8,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,B: greenfield / project,serp_lizardite,reactor_aerated,FOAK,0.022160968131463548,0.011305657681335568,0.036826090090163716,-0.017973621753029256,0.6845,9412.704262912428,3851.651782876186,62993.43075411473,,10.5,601,1.0,0.0,0.7,400,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,A: existing tailings,dunite_fresh,reactor_aerated,FOAK,0.002180573163294797,0.0008619583771697973,0.004371491059990486,-0.00542143010039133,0.8955,48605.52996358334,17698.37018950063,303667.53403886984,,24.9,1477,1.0,2.2,0.8,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,A: existing tailings,laterite_saprolite,reactor_aerated,FOAK,0.0075660716577761414,0.0034196348857342706,0.013118210899155472,-0.0003792180518609467,0.28300000000000003,12114.553582366203,4556.3275596854355,63910.651805570495,,25.1,1494,1.0,0.5,1.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,A: existing tailings,laterite_saprolite,reactor_aerated,FOAK,0.007814166939467073,0.0034085522300509956,0.013233351595530756,-0.0335071424279888,0.98,30143.586515940464,6731.3184619788735,97867.49679949548,,19.9,1827,1.0,9.0,5.6,561,Ember latest year,,tier default range
Tiébaghi,New Caledonia,A: existing tailings,laterite_saprolite,reactor_aerated,FOAK,0.0076553219858524315,0.003390015626724793,0.013409593047983429,-0.03306120966222878,0.9845,30126.08738660233,8803.923828039118,224239.52284835788,,21.4,1356,1.0,2.2,1.7,561,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,A: existing tailings,laterite_saprolite,reactor_aerated,FOAK,0.007760417683224809,0.0032940035233556047,0.013441145409328238,-0.03353037131416821,0.976,29107.312501475186,10775.88628632607,310167.4703462147,,21.8,2715,1.0,4.2,0.8,561,Ember latest year,,tier default range
Jeffrey Mine (Val-des-Sources),Canada,A: existing tailings,serp_partial,reactor_aerated,NOAK,0.0330165851303673,0.021401336707762814,0.047747269029345674,0.032925772734673564,0.0,877.5606407360935,525.6042637442044,1514.441200316092,,5.9,1248,1.0,5.8,1.0,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022332906977193926,0.011056168612765345,0.036686156084305976,0.0222425335117004,0.0,1279.8123379690383,708.545855477439,2752.3075616329015,2.4566197674913317,5.0,1284,1.0,5.0,1.4,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.021829548714178,0.010960515636814647,0.03660402635117502,0.021757976714422,0.0,1330.098660413801,720.3526334317392,2850.3590346886167,,4.2,1385,1.0,1.0,1.3,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.01917665074518552,0.009378592336111609,0.032999408630314433,-0.03544307722802682,0.9155,5172.800578015046,1943.8809607864137,36250.89792367157,,-10.3,760,1.0,2.0,916.8,750,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022026617452831965,0.0111946565707936,0.03593779994699467,0.007932590640690991,0.11850000000000005,2215.944097396708,971.2572842498678,9118.261457993216,1.0352510202831025,3.0,1382,1.0,1.5,0.9,191,Ember latest year,,tier default range
Cassiar,Canada,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.020459949813179203,0.010092865434407954,0.034467121410292324,0.006314588238569581,0.18899999999999995,2736.0326566504073,1124.6507432397602,14036.19296364588,0.34781914682404647,-6.7,1180,1.0,7.5,11.7,191,Ember latest year,,tier default range
Clinton Creek,Canada,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.021063138882832882,0.010764755685454418,0.035398866026069946,0.00717519050182148,0.15600000000000003,2510.0930416447222,1028.7019165201768,11239.449671712882,0.21063138882832882,-3.7,467,1.0,3.8,20.0,191,Ember latest year,,tier default range
New Idria,United States,A: existing tailings,serp_partial,reactor_aerated,NOAK,0.033163896991833614,0.020961659154132877,0.0480569413833842,0.019083414404589362,0.0020000000000000018,1179.493172318736,644.819102282422,2811.719968285228,,13.8,371,1.0,7.8,1.8,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,A: existing tailings,serp_partial,reactor_aerated,NOAK,0.033414302108298724,0.021202103569654136,0.048572205178212556,0.019575518007083306,0.0030000000000000027,1182.5391814163315,638.4817956147626,2775.568733631699,,12.3,386,1.0,9.0,6.2,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022364997483686536,0.01128258541272662,0.03651338855304343,0.00540264925933635,0.16300000000000003,2315.682798131753,1006.1152905845645,9399.345407544715,1.006424886765894,4.9,1749,1.0,6.8,3.8,230,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Woodsreef,Australia,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022380148720859055,0.011534134604249771,0.036680772924956556,-0.024763361527424935,0.7364999999999999,3563.1080654448206,1310.6356504535413,22559.755719381665,0.5595037180214764,16.5,644,1.0,0.8,0.7,650,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,A: existing tailings,serp_partial,reactor_aerated,NOAK,0.03345273944839891,0.021653847673422436,0.04796752767794626,-0.0030262447879182523,0.26249999999999996,2005.3899091551475,847.3495832625067,9685.75596880878,,21.7,284,1.0,1.0,1.2,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.02207566301666126,0.01135782122845103,0.036610275082395886,-0.014403422152485097,0.5820000000000001,3115.242380308703,1138.9864060820832,19556.375344337794,,21.2,578,1.0,0.5,3.6,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.02131654704586987,0.010807716524322712,0.03643868871336387,-0.01455441479012213,0.5880000000000001,3235.217455625396,1189.5311778610737,16434.330639528638,3.0482662275593913,19.8,617,1.0,3.0,0.3,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.02221247121261235,0.011461806975276632,0.03645154425284116,0.012471550081897733,0.03400000000000003,1737.4197801374432,829.7253265193418,5146.236792275903,1.1106235606306174,15.4,1100,1.0,13.8,1.9,131,Ember latest year,,tier default range
Msauli,South Africa,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.02195749174911961,0.011584886350299781,0.03558964336093168,-0.029166455347744487,0.794,3994.4038756407726,1400.772901153187,23530.154323785253,,14.4,1072,1.0,4.2,5.3,699,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.02180980417367811,0.010727126895526504,0.03653130887664712,0.013995999853846176,0.015000000000000013,1607.2013132208742,797.2700974089063,5254.5953888138565,,26.5,1239,1.0,3.0,4.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,A: existing tailings,serp_antigorite,reactor_aerated,NOAK,0.0044903855179667,0.0018090022829174847,0.008442455739825593,-0.02507665766778521,0.995,19146.43904437476,6525.806512507698,56631.04733828872,,2.7,525,1.0,6.2,1.1,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Dzhetygara (Zhitikara),Kazakhstan,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022339249401583952,0.011688877010084217,0.03659275174529842,-0.007638192293319064,0.48150000000000004,3150.1172809703253,1190.8517807801325,17285.950022270517,,4.0,331,1.0,0.2,0.4,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,A: existing tailings,serp_antigorite,reactor_aerated,NOAK,0.004633032136344204,0.0018536780346220974,0.008788613065436511,-0.015915828810320838,0.9685,18109.390631513525,5710.957226531856,63610.61771516885,,11.5,1006,1.0,7.5,0.7,285,Ember latest year,,tier default range
Amiantos,Cyprus,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022199745784417725,0.011025372015605174,0.036477999981478944,-0.007128680329731933,0.4385,2944.0021144622715,1143.9481022429834,15620.613935354442,,13.0,728,1.0,9.8,0.8,400,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,A: existing tailings,serp_lizardite,reactor_aerated,NOAK,0.022227446294647964,0.011269664003426534,0.03617061969262403,-0.001796019038131186,0.3055,2692.710249113027,1088.4783898406326,13384.930599941448,,12.4,516,1.0,2.5,0.7,324,Ember latest year,,tier default range
Diavik,Canada,A: existing tailings,kimberlite_tailings,reactor_aerated,NOAK,0.012662026268057108,0.006568257928299909,0.020995491243845997,-0.0012283589951818464,0.4355,5705.7579859795505,2119.1909336862486,30665.972274282714,,-9.6,428,1.0,0.5,265.6,191,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,B: greenfield / project,serp_partial,reactor_aerated,NOAK,0.03329433640765391,0.021403854416354437,0.04768463136779956,0.02968185419471425,0.0,1580.2708375480354,958.6611200966576,2740.3816928054507,,1.9,946,1.0,0.0,0.7,1,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,B: greenfield / project,serp_partial,reactor_aerated,NOAK,0.03295840715859759,0.021574963599083532,0.04812870643297926,0.011624669283224776,0.03749999999999998,2735.305941610347,1309.9254640190547,8714.183876927997,,3.6,579,1.0,0.8,45.9,191,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,B: greenfield / project,dunite_fresh,reactor_aerated,NOAK,0.0022037687647744387,0.0008353557546538847,0.004374482977866624,-0.047494161843244696,1.0,,,,,23.5,235,1.0,0.2,0.8,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,B: greenfield / project,serp_lizardite,reactor_aerated,NOAK,0.022063523591090234,0.011602786747912978,0.0364437155021043,-0.01796647212061363,0.6945,6572.508275520287,2385.1170003533457,39022.71174374172,,10.5,601,1.0,0.0,0.7,400,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,A: existing tailings,dunite_fresh,reactor_aerated,NOAK,0.0022844898177316734,0.0008392572702283401,0.004335888693464413,-0.0053354762087712716,0.892,29723.32296242539,11575.380696789975,169230.47462368815,,24.9,1477,1.0,2.2,0.8,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,A: existing tailings,laterite_saprolite,reactor_aerated,NOAK,0.007532938261818774,0.003129912770975961,0.013455815276412961,-0.00022385010407308028,0.2915,6719.714130241202,2496.3969745426566,31203.401123946245,,25.1,1494,1.0,0.5,1.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,A: existing tailings,laterite_saprolite,reactor_aerated,NOAK,0.007614997738987885,0.0034282378563346054,0.013466456284600444,-0.03314833188803358,0.9815,18604.736060859886,5294.025214709345,95240.032522933,,19.9,1827,1.0,9.0,5.6,561,Ember latest year,,tier default range
Tiébaghi,New Caledonia,A: existing tailings,laterite_saprolite,reactor_aerated,NOAK,0.007645525023636493,0.0035083752744786982,0.013521264980277918,-0.03297667228380251,0.985,8913.240369158953,3703.3849634990015,23578.854177537127,,21.4,1356,1.0,2.2,1.7,561,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,A: existing tailings,laterite_saprolite,reactor_aerated,NOAK,0.0077763608003122014,0.00331991869758728,0.01339914695166443,-0.03301898884845508,0.9855,14735.24133666048,3577.8903858189806,93329.93883821365,,21.8,2715,1.0,4.2,0.8,561,Ember latest year,,tier default range
Jeffrey Mine (Val-des-Sources),Canada,A: existing tailings,serp_partial,reactor_activated,FOAK,0.2734722948121613,0.25463619312017177,0.29202439536681296,0.2731221698671952,0.0,428.3190019587175,408.3856015600271,450.8300267606854,,5.9,1248,1.0,5.8,1.0,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2734555451960602,0.2546361930921938,0.291980512747324,0.27311790357474225,0.0,428.9014836151156,408.8533298042008,451.7201520638474,30.08010997156662,5.0,1284,1.0,5.0,1.4,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2734008416426662,0.2546361930101928,0.2919743352484061,0.2730910498779493,0.0,429.60860564626756,409.28569232531123,452.6917488246681,,4.2,1385,1.0,1.0,1.3,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2709210129838195,0.2517103857983219,0.29074155028814813,0.076096373410719,0.0040000000000000036,1024.507210162928,725.3228961136043,1806.955602057369,,-10.3,760,1.0,2.0,916.8,750,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.273329173761227,0.2545986345670275,0.29195578362965424,0.2237434675060039,0.0,525.1867877027112,474.8885551165903,590.5057059954889,12.84647116677767,3.0,1382,1.0,1.5,0.9,191,Ember latest year,,tier default range
Cassiar,Canada,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2726214996361459,0.25334597882801047,0.2913379153632259,0.22251346014173504,0.0,547.7464575974934,490.2625690282352,627.9206040932036,4.63456549381448,-6.7,1180,1.0,7.5,11.7,191,Ember latest year,,tier default range
Clinton Creek,Canada,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2730488334896348,0.2540993212884204,0.29177139444899086,0.2230382841470676,0.0,538.4636974341701,483.8093580886717,610.9656727052142,2.7304883348963482,-3.7,467,1.0,3.8,20.0,191,Ember latest year,,tier default range
New Idria,United States,A: existing tailings,serp_partial,reactor_activated,FOAK,0.2735156731078997,0.25471516817722845,0.2920243953760977,0.2256738087029354,0.0,514.4809126805624,466.1239060008002,577.3190865642883,,13.8,371,1.0,7.8,1.8,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,A: existing tailings,serp_partial,reactor_activated,FOAK,0.27351554025460245,0.2547149197488634,0.2920243953760977,0.22567380870293363,0.0,515.1243096884505,466.74747456353236,578.5383377989465,,12.3,386,1.0,9.0,6.2,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.27345314102178564,0.2546361930862266,0.2919799345686665,0.21408233456909587,0.0,501.8663622746683,461.53898184951873,552.0581247859852,12.305391345980354,4.9,1749,1.0,6.8,3.8,230,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Woodsreef,Australia,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.273515711349296,0.25471523986252415,0.2920243953760977,0.10526005706461752,0.0,765.6305140810468,604.4801817301525,1035.6105396782214,6.837892783732399,16.5,644,1.0,0.8,0.7,650,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,A: existing tailings,serp_partial,reactor_activated,FOAK,0.2735157133889339,0.25471524335178003,0.2920243953760977,0.1441642016306274,0.0,657.4846669725821,551.0156542773683,815.9872255591397,,21.7,284,1.0,1.0,1.2,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.27351571338720504,0.2547152433498965,0.2920243953760977,0.14414259004823302,0.0,656.892122771171,551.2091398185341,815.3504317207917,,21.2,578,1.0,0.5,3.6,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2735157133642212,0.25471524332015366,0.2920243953760977,0.14414259004823302,0.0,657.7913269271672,551.5400368762084,815.8756242527415,39.112747011083634,19.8,617,1.0,3.0,0.3,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.27351570609561987,0.25471523023306,0.2920243953760977,0.23927459930597877,0.0,495.3963957240438,454.101268223444,548.8397369837621,13.675785304780993,15.4,1100,1.0,13.8,1.9,131,Ember latest year,,tier default range
Msauli,South Africa,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.27351569175385515,0.25471520334460135,0.2920243953760977,0.09319447387385718,0.0,808.0843507010725,623.2075962668689,1147.0509911796753,,14.4,1072,1.0,4.2,5.3,699,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2735157133903474,0.2547152433530919,0.2920243953760977,0.2461247241269957,0.0,484.08395439680254,445.6488668310379,534.0689391241991,,26.5,1239,1.0,3.0,4.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,A: existing tailings,serp_antigorite,reactor_activated,FOAK,0.27332917186325856,0.25459863213966877,0.2919442490034901,0.16700846664552427,0.0,625.9328105395648,534.4606875027439,754.0260970824887,,2.7,525,1.0,6.2,1.1,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Dzhetygara (Zhitikara),Kazakhstan,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.27337899756541506,0.2546361929712292,0.29197210784317484,0.16818896967125907,0.0,621.5864737499573,534.7799760417122,748.7752244036903,,4.0,331,1.0,0.2,0.4,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,A: existing tailings,serp_antigorite,reactor_activated,FOAK,0.2735153560475492,0.25471458227673693,0.29202439537609765,0.19938565196861002,0.0,555.084515677636,491.82405565906487,637.6203189165009,,11.5,1006,1.0,7.5,0.7,285,Ember latest year,,tier default range
Amiantos,Cyprus,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.27351562425208265,0.25471507626570467,0.2920243953760977,0.16964086935832473,0.0,608.0058257848589,524.4463157177887,724.6720619984529,,13.0,728,1.0,9.8,0.8,400,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,A: existing tailings,serp_lizardite,reactor_activated,FOAK,0.2735155556472122,0.25471494829039293,0.2920243953760977,0.18947055508274796,0.0,570.6171389033234,505.46523029179383,662.1439546866069,,12.4,516,1.0,2.5,0.7,324,Ember latest year,,tier default range
Diavik,Canada,A: existing tailings,kimberlite_tailings,reactor_activated,FOAK,0.2713085185242957,0.25213232720954426,0.2909413324715955,0.22130640088645176,0.0,560.4525445963397,496.92892038283867,654.84427096462,,-9.6,428,1.0,0.5,265.6,191,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,B: greenfield / project,serp_partial,reactor_activated,FOAK,0.2732489090088214,0.25451076005941675,0.29192943199539345,0.2692767246313048,0.0,498.00760760686086,463.8109952955572,537.9950922058619,,1.9,946,1.0,0.0,0.7,1,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,B: greenfield / project,serp_partial,reactor_activated,FOAK,0.27334608713320985,0.2546361928533719,0.29196654291107865,0.2163059801111193,0.0,616.4114876173749,548.6509051819112,696.1211542873624,,3.6,579,1.0,0.8,45.9,191,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,B: greenfield / project,dunite_fresh,reactor_activated,FOAK,0.27351571339028213,0.2547152433530513,0.2920243953760977,0.130599453117701,0.0,787.222928840139,653.7303508991466,985.5190148913852,,23.5,235,1.0,0.2,0.8,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,B: greenfield / project,serp_lizardite,reactor_activated,FOAK,0.27351487157465393,0.2547137201940844,0.292024395376097,0.15904430894231839,0.0,719.9937651831151,617.0002769075692,860.2182864827087,,10.5,601,1.0,0.0,0.7,400,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,A: existing tailings,dunite_fresh,reactor_activated,FOAK,0.27351571339034286,0.25471524335309,0.2920243953760977,0.2461247241269957,0.0,484.1077684762936,445.81207796143474,534.1608948890022,,24.9,1477,1.0,2.2,0.8,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,A: existing tailings,laterite_saprolite,reactor_activated,FOAK,0.2735157133903444,0.2547152433530907,0.2920243953760977,0.2461247241269957,0.0,484.1064406106191,445.7830320236373,534.1428249681617,,25.1,1494,1.0,0.5,1.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,A: existing tailings,laterite_saprolite,reactor_activated,FOAK,0.27351571336776254,0.25471524332499906,0.2920243953760977,0.1286703140831824,0.0,694.887278528476,570.7845089125407,893.8768818575767,,19.9,1827,1.0,9.0,5.6,561,Ember latest year,,tier default range
Tiébaghi,New Caledonia,A: existing tailings,laterite_saprolite,reactor_activated,FOAK,0.27351571338805825,0.2547152433508455,0.2920243953760977,0.1286703140831824,0.0,694.1557381558895,570.123000237667,892.430174992962,,21.4,1356,1.0,2.2,1.7,561,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,A: existing tailings,laterite_saprolite,reactor_activated,FOAK,0.27351571338914593,0.25471524335199813,0.2920243953760977,0.1286703140831824,0.0,694.0201668329614,570.1144697067426,891.7666162432183,,21.8,2715,1.0,4.2,0.8,561,Ember latest year,,tier default range
Jeffrey Mine (Val-des-Sources),Canada,A: existing tailings,serp_partial,reactor_activated,NOAK,0.2725364482279745,0.25486959392135633,0.29149639883804185,0.2723054731541717,0.0,112.36225313472636,99.52928804116156,125.43066661055677,,5.9,1248,1.0,5.8,1.0,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2725364482275312,0.2548695938662182,0.2914963988366466,0.2723054721909657,0.0,112.60211229286949,99.68628104194607,125.6870285156762,29.979009305028434,5.0,1284,1.0,5.0,1.4,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2725364482256209,0.2548695936986869,0.2914963988307029,0.2723054691731405,0.0,112.76497608315434,99.83742992470064,125.92026979324223,,4.2,1385,1.0,1.0,1.3,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.27017579818684734,0.25163916662290586,0.29026234009614904,0.11777332590361946,0.0,204.76134664765672,170.21252498324935,264.3695675510683,,-10.3,760,1.0,2.0,916.8,750,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,A: existing tailings,serp_lizardite,reactor_activated,NOAK,0.2725082164165824,0.25486959265645515,0.2914963987745445,0.23392728104698823,0.0,127.93375986025467,112.32300422955797,144.00562776474936,12.807886171579373,3.0,1382,1.0,1.5,0.9,191,Ember latest year,,tier default range
